Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-11-20 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-19 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-18 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-17 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-14 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-13 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-12 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-11 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-10 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-07 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-06 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-05 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-04 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-11-03 00:00:00-05:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-31 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-30 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-29 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-28 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-27 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-24 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-23 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-22 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-21 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-20 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-17 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-16 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-15 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-14 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-13 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-10 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-09 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-08 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-07 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-06 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-03 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-02 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-10-01 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-30 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-29 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-26 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-25 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-24 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-23 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-22 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-19 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-18 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-17 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-16 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-15 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-12 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-11 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-10 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-09 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-08 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-05 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-04 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-03 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-09-02 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-29 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-28 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-27 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-26 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-25 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-22 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-21 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-20 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-19 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-18 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-15 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-14 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
2025-08-13 00:00:00-04:00,51.41,51.41,51.41,51.41,0,0.0,0.0
